latitude,longitude
40.734925700000005,-73.92311090000001
40.80777,-73.94549
40.895195,-73.88011999999999
40.833736,-73.88880999999999
40.66919,-73.8857
40.73283,-73.97415
40.830048,-73.90632
40.792263,-73.79332
40.826454299999995,-73.8553285
40.736732,-73.85451
40.875122,-73.905174
40.693604,-73.8229
40.809563,-73.92923
40.728207,-73.73817
40.705135,-73.90293
40.580376,-73.983315
40.786784999999995,-73.80971
40.77006,-73.90679
40.792519899999995,-73.9343547
40.668246999999994,-73.8873
40.796533200000006,-73.9759553
40.701214,-73.80158
40.608757000000004,-74.03808599999999
40.707214,-74.00275400000001
40.67538,-73.9082
40.7374593,-73.7410827
40.636463,-73.9118
40.657413,-73.983
40.644141999999995,-73.957924
40.703403,-73.91778599999999
40.722343,-73.77717
40.639256,-74.00368
40.758396000000005,-73.81994
40.69407,-73.82802
40.678236,-73.8975198
40.73723,-74.000656
40.77039,-73.91771
40.75548,-73.74173
40.764340000000004,-73.87448
40.759266499999995,-73.75036379999999
40.7092,-73.9919
40.765854,-73.914505
40.754107700000006,-73.72320340000002
40.855793,-73.86986
40.766895,-73.92139399999999
40.616609999999994,-73.926636
40.7663065,-73.89284909999999
40.7831836,-73.9436089
40.61325,-74.15856
40.6714475,-73.8899962
40.695995,-73.96964
40.695209999999996,-73.8075
40.712616,-73.96951
40.68169,-73.96715
40.685722,-73.85738
40.727432,-73.90713000000001
40.824913,-73.8689
40.747234000000006,-73.99337
40.68085,-73.79907
40.83835,-73.94784
40.639633,-73.954185
40.610302000000004,-74.084526
40.67268,-73.953026
40.858387,-73.893005
40.84551,-73.83422
40.676548,-73.76838000000001
40.682790000000004,-73.97247
40.69471,-73.751305
40.69648,-73.92574
40.826275,-73.85970999999999
40.740295,-74.00795
40.76161,-73.99032
40.902846999999994,-73.855385
40.753468,-73.91355
40.66018,-73.95351
40.745426,-74.00825
40.785571999999995,-73.8361
40.636074,-74.00896
40.825424,-73.923485
40.72195,-73.99628
40.804695,-73.92239000000001
40.87656,-73.90436
40.746320000000004,-73.98350500000001
40.78389,-73.950294
40.67991,-73.88845
40.887671999999995,-73.84705
40.761486,-73.96061999999999
40.594395,-74.1849
40.632220000000004,-73.89214
